,#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
106,107,Cambodia,"113,057",+174,"2,360",+24,"103,918",+535,"6,779",,"6,647",139,"2,443,139","143,650","17,007,591"
107,108,Australia,"109,516","+2,345","1,321",+12,"82,406",,"25,789",296,"4,233",51,"38,242,311","1,478,302","25,869,076"
108,109,El Salvador,"104,348",,"3,262",+17,"86,851",,"14,235",127,"15,987",500,"1,285,112","196,889","6,527,081"
109,110,Singapore,"99,430",,103,,"79,124",,"20,203",34,"16,830",17,"19,108,195","3,234,408","5,907,787"
110,111,Rwanda,"97,695",,"1,276",,"45,477",,"50,942",12,"7,317",96,"2,830,728","212,008","13,351,980"
111,112,Cameroon,"92,303",,"1,459",,"80,433",,"10,411",152,"3,373",53,"1,751,774","64,007","27,368,592"
112,113,Maldives,"84,971",+105,231,,"83,178",+104,"1,562",23,"153,818",418,"1,497,443","2,710,736","552,412"
113,114,Jamaica,"84,417",+348,"1,884",+7,"53,100",+152,"29,433",41,"28,353",633,"604,007","202,870","2,977,311"
114,115,Luxembourg,"78,326",,835,,"76,331",,"1,160",8,"122,638","1,307","3,523,487","5,516,853","638,677"
115,116,Senegal,"73,793",+11,"1,859",+1,"71,841",+23,93,8,"4,267",107,"802,767","46,421","17,293,164"
116,117,Malawi,"61,597",,"2,282",,"55,453",,"3,862",67,"3,120",116,"410,104","20,770","19,745,321"
117,118,Ivory Coast,"60,335",,631,,"58,116",,"1,588",,"2,219",23,"972,843","35,777","27,191,577"
118,119,Angola,"58,076",,"1,567",,"48,079",,"8,430",37,"1,701",46,"1,010,092","29,589","34,137,822"
119,120,DRC,"56,997",,"1,084",,"30,858",,"25,055",,613,12,"306,299","3,295","92,948,314"
120,121,Réunion,"53,682",,366,,"52,663",,653,33,"59,429",405,"1,279,618","1,416,619","903,290"
121,122,Guadeloupe,"53,585",,708,,"2,250",,"50,627",23,"133,893","1,769","457,511","1,143,180","400,209"
122,123,Fiji,"51,168",+38,632,+1,"37,168",+20,"13,368",10,"56,567",699,"414,499","458,235","904,556"
123,124,Trinidad and Tobago,"50,903",,"1,489",,"45,182",,"4,232",22,"36,226","1,060","353,373","251,484","1,405,149"
124,125,Eswatini,"45,971",,"1,223",,"44,203",,545,10,"39,119","1,041","348,462","296,524","1,175,156"
125,126,Madagascar,"42,898",,958,,"41,322",,618,3,"1,501",34,"249,510","8,731","28,577,234"
126,127,Suriname,"41,867",,893,,"26,943",,"14,031",21,"70,579","1,505","131,395","221,505","593,193"
127,128,French Guiana,"41,325",,268,,"9,995",,"31,062",32,"134,033",869,"400,510","1,299,012","308,319"
128,129,Martinique,"41,129",,608,,104,,"40,417",1,"109,706","1,622","359,082","957,805","374,901"
129,130,French Polynesia,"40,178",,623,,"33,500",,"6,055",21,"142,004","2,202","26,355","93,148","282,936"
130,131,Sudan,"38,263",,"2,902",,"32,075",,"3,286",,848,64,"238,579","5,287","45,124,319"
131,132,Cabo Verde,"37,604",,340,,"36,722",,542,23,"66,730",603,"209,870","372,425","563,523"
132,133,Malta,"37,187",+24,459,+1,"36,019",+21,709,,"83,941","1,036","1,211,456","2,734,590","443,012"
133,134,Mauritania,"36,079",,776,,"34,715",,588,22,"7,514",162,"471,374","98,166","4,801,791"
